No Photos, 0.752 0.729 0.366 -5.436
Death to the Architects of Heaven, 0.373 0.989 0.225 -4.819
Warriors, 0.365 0.851 0.309 -6.238
Linger, 0.439 0.434 0.204 -14.918
Sweet Child O' Mine, 0.454 0.91 0.629 -7.766
Conqueror, 0.469 0.565 0.522 -6.732
Let You Break My Heart Again, 0.299 0.142 0.123 -15.134
Utshorgo, 0.485 0.799 0.413 -8.494
Are You With Me - Radio Edit, 0.763 0.608 0.393 -8.1
Bhenge Porona Ebhabe, 0.462 0.222 0.254 -16.422
Bolna Tui Bolna, 0.822 0.393 0.54 -9.941
Die For You, 0.598 0.705 0.104 -5.462
Melbourne, 0.326 0.639 0.0591 -9.024
Another One Of Me (feat. 21 Savage), 0.661 0.646 0.173 -6.437
火炎, 0.521 0.933 0.607 -4.874
Uptown Funk (feat. Bruno Mars), 0.856 0.609 0.928 -7.223
Hailie's Song, 0.753 0.737 0.499 -3.307
Epitaph, 0.492 0.515 0.363 -8.822
Minnet Eylemem, 0.611 0.466 0.0502 -10.124
Drive, 0.645 0.792 0.666 -7.34
Na, 0.636 0.942 0.668 -5.014
Love The Way You Lie, 0.746 0.922 0.638 -5.014
Back In Black, 0.31 0.7 0.763 -5.678
Ghost (Of 7th St.), 0.438 0.549 0.19 -6.738
Legacy, 0.664 0.899 0.534 -3.711
'Till I Collapse, 0.551 0.851 0.1 -3.277
Say Something, 0.407 0.147 0.0765 -8.822
Doctor, 0.571 0.443 0.621 -6.76
Levitate, 0.624 0.316 0.402 -21.305
Somebody That I Used To Know, 0.865 0.521 0.748 -6.932
Run, 0.683 0.659 0.65 -10.065
Way Too Big, 0.787 0.7 0.331 -7.821
One Hundred Days, 0.498 0.51 0.192 -8.482
Dream On, 0.392 0.476 0.234 -7.583
Nocturne I, 0.463 0.109 0.144 -21.595
Someone You Loved, 0.501 0.405 0.447 -5.679
Monkey, 0.529 0.741 0.362 -8.245
Ekanto Golaap, 0.411 0.898 0.701 -7.275
Envy Me, 0.74 0.488 0.584 -7.664
Cold Wind Blows, 0.625 0.973 0.577 -0.501
Same Mistakes, 0.468 0.478 0.248 -9.172
Under My Skin, 0.744 0.612 0.687 -7.811
My God Is The Sun, 0.187 0.855 0.257 -4.316
Monica Lewinsky (feat. A Boogie Wit da Hoodie), 0.828 0.521 0.369 -5.583
Role Model, 0.863 0.584 0.786 -4.203
Forgive Me Father, 0.381 0.988 0.0923 -2.962
I Love You, 0.369 0.482 0.244 -7.597
Love Me, 0.67 0.634 0.497 -6.471
A Storm Without a Wind, 0.384 0.975 0.0766 -7.635
Best Part (feat. H.E.R.), 0.576 0.607 0.456 -9.351
JUMPING SHIP, 0.758 0.601 0.575 -7.042
Possibility, 0.285 0.311 0.0772 -10.012
Dreams, 0.374 0.449 0.0374 -14.275
Remnants of the Tortured, 0.26 0.994 0.073 -2.669
Secret (feat. Summer Walker), 0.727 0.496 0.504 -10.386
Supplier!, 0.559 0.655 0.667 -6.792
Hurt, 0.563 0.784 0.424 -5.875
Heirs to Thievery, 0.557 0.957 0.413 -5.331
Apocalyptic Premonition, 0.51 0.988 0.18 -4.151
Blue Pill, 0.369 0.42 0.0716 -12.278
After Dark, 0.585 0.595 0.039 -10.444
give it back - Slushii Remix, 0.618 0.825 0.16 -4.936
SONDER (Reprise), 0.561 0.474 0.125 -9.171
Borrowed Love (feat. Swae Lee & WizKid), 0.521 0.593 0.392 -8.811
inner universe, 0.395 0.894 0.31 -6.184
Cardigan, 0.747 0.497 0.0663 -6.542
One Right Now (with The Weeknd), 0.682 0.764 0.701 -5.411
Phagun Haway Haway, 0.54 0.41 0.403 -6.954
Ore Nil Doriya, 0.568 0.51 0.233 -9.081
The Devils, 0.205 0.987 0.0914 -4.811
Strange Or Be Forgotten, 0.427 0.791 0.291 -7.491
4am (The Fauns Remix), 0.701 0.575 0.489 -9.401
Cradles, 0.581 0.585 0.63 -1.87
Darl+ing, 0.519 0.695 0.515 -4.861
Martyr, 0.218 0.963 0.192 -3.775
Hack Slash, 0.698 0.987 0.266 -0.734
Reveal (Fly You Out) [feat. Darkovibes & $pacely], 0.771 0.714 0.757 -5.504
CITY OF ANGELS, 0.855 0.546 0.869 -5.192
Some, 0.659 0.799 0.782 -2.849
MELTDOWN (feat. Drake), 0.557 0.774 0.397 -5.275
Dishehara Tui - Lofi Remix, 0.536 0.269 0.547 -13.238
Akuma no Ko, 0.567 0.663 0.187 -6.402
Automatica, 0.523 0.638 0.16 -9.04
Django Jane, 0.833 0.624 0.26 -6.306
Wasn't Expecting That, 0.591 0.415 0.197 -6.936
Shukhi Manusher Kanna, 0.541 0.561 0.198 -7.332
damn, 0.707 0.759 0.646 -7.955
Deadfuck, 0.27 0.996 0.117 -4.729
E Hawa, 0.271 0.192 0.188 -14.925
Bagpipes From Baghdad, 0.74 0.915 0.382 -2.472
Party Girl (Remix), 0.752 0.375 0.591 -10.157
Circles, 0.695 0.763 0.551 -3.497
The Ocean (feat. Shy Martin), 0.632 0.575 0.188 -6.478
Re:Re: (2016 Version), 0.449 0.904 0.738 -5.264
A Dozen Roses, 0.407 0.744 0.286 -4.571
Best Friend, 0.75 0.906 0.562 -5.028
Taxi’s Here, 0.571 0.568 0.431 -6.969
Omor, 0.618 0.787 0.637 -6.889
Slow Motion (feat. Wizkid), 0.5 0.738 0.433 -4.477
NASTY GIRL / ON CAMERA, 0.598 0.472 0.522 -10.991
Night Cruiser, 0.829 0.716 0.473 -4.62
Diver（第180話 -第 205話）, 0.472 0.95 0.526 -3.311
High School Reunion, 0.659 0.709 0.281 -6.629
PERFEKT DARK, 0.515 0.344 0.0384 -15.243
Otopor, 0.68 0.706 0.67 -8.28
American Spirits, 0.503 0.824 0.877 -4.779
WAKE UP, 0.741 0.645 0.488 -5.116
Psycho!, 0.868 0.365 0.471 -9.51
Clueless, 0.436 0.655 0.412 -8.37
FACK, 0.845 0.6 0.357 -7.091
Abar, 0.323 0.89 0.543 -5.232
Berzerk, 0.715 0.874 0.678 -4.052
Wake Up in the Sky, 0.8 0.578 0.367 -5.144
GATTI, 0.594 0.676 0.472 -5.808
Far Away, 0.59 0.824 0.527 -3.787
言えない, 0.51 0.66 0.142 -6.945
Blvd. Nights, 0.26 0.784 0.101 -4.45
Same Place, 0.679 0.364 0.19 -9.876
double take, 0.686 0.682 0.854 -7.656
Shinkai, 0.621 0.778 0.602 -3.818
Dreamcatcher (feat. Swae Lee & Travis Scott), 0.674 0.23 0.102 -10.363
everything i wanted, 0.704 0.225 0.243 -14.454
Not Allowed, 0.366 0.439 0.11 -5.238
SHOWING YOU, 0.649 0.297 0.523 -13.509
Demian, 0.412 0.866 0.24 -5.957
lit, 0.715 0.0319 0.764 -23.01
Cold Sun, 0.46 0.794 0.129 -4.305
Many Men, 0.635 0.793 0.281 -4.333
Ghost Lite, 0.664 0.523 0.156 -10.153
Nandemonaiya - movie ver., 0.496 0.462 0.514 -6.189
Thirty-Nine, 0.265 0.6 0.0555 -9.28
God's Plan, 0.758 0.448 0.373 -9.441
For the Last Time, 0.844 0.533 0.23 -9.612
Dube Dube, 0.648 0.434 0.323 -9.952
Panda, 0.576 0.766 0.236 -4.943
Del III - Himmel, 0.195 0.727 0.0389 -4.816
Esho Amar Shohore, 0.652 0.148 0.125 -16.622
Superhero (Heroes & Villains) [with Future & Chris Brown], 0.709 0.583 0.533 -5.298
Grand Escape (feat. Toko Miura), 0.566 0.534 0.4 -7.414
People Help the People, 0.433 0.308 0.153 -9.001
Avijog - Lofi Remix, 0.265 0.342 0.157 -10.884
watch, 0.441 0.599 0.35 -8.985
Half A Man, 0.411 0.204 0.337 -11.575
Under the Skies of Gehenna, 0.144 0.908 0.0389 -6.167
Ghum (Official), 0.626 0.251 0.72 -17.316
The Sky Is A Neighborhood, 0.357 0.549 0.531 -7.843
Miss Universe, 0.732 0.555 0.73 -7.973
Hurts Me, 0.553 0.786 0.673 -5.477
Koko de Iki wo Shite, 0.668 0.747 0.811 -2.812
Shesh Prarthona (Bonus Track), 0.453 0.693 0.0809 -6.837
愛を伝えたいだとか, 0.673 0.85 0.793 -5.021
Teka Pakhi, 0.768 0.458 0.643 -9.996
Cooped Up (with Roddy Ricch), 0.669 0.773 0.377 -5.619
Stay Alive Re:Zero, 0.489 0.586 0.334 -9.673
Super Mario Bros - Original, 0.0 0.331 0.0 -8.115
The Woeful Eucharisty, 0.357 0.98 0.143 -3.208
Kings Never Die, 0.771 0.896 0.0593 -5.289
Gangnam Style (강남스타일), 0.727 0.938 0.757 -2.872
Temptation, 0.702 0.659 0.843 -6.766
Fair Chance, 0.694 0.504 0.254 -11.621
LET IT OUT (第15〜26話ED), 0.432 0.817 0.558 -4.355
I Will Rise, 0.355 0.918 0.0603 -7.848
Rap God, 0.712 0.838 0.607 -2.679
Hecatomb, 0.317 0.914 0.265 -6.062
"Senya Itachi Theme (From ""Naruto Shippuden"")", 0.705 0.508 0.25 -12.092
透明だった世界, 0.373 0.914 0.56 -4.185
Majhe Majhe Tabo Dekha Pai, 0.522 0.503 0.593 -9.327
Goodbyes (Feat. Young Thug), 0.58 0.653 0.175 -3.818
Irony, 0.659 0.658 0.538 -3.928
Hyena Express, 0.363 0.662 0.297 -9.052
Mamacita (feat. Rich Homie Quan & Young Thug), 0.823 0.768 0.216 -6.21
Love Hurts (feat. Travis Scott), 0.724 0.45 0.464 -5.763
Corner, 0.551 0.589 0.543 -7.754
Jimmy Cooks (feat. 21 Savage), 0.529 0.673 0.366 -4.711
Stronger Than I Was, 0.778 0.604 0.355 -5.394
rockstar (feat. 21 Savage), 0.585 0.52 0.129 -6.136
Everyday, 0.668 0.756 0.458 -3.903
November Rain - 2022 Version, 0.252 0.797 0.199 -3.877
Lost, 0.518 0.354 0.315 -9.141
さよならごっこ, 0.62 0.716 0.599 -5.07
Black Swan, 0.719 0.758 0.49 -5.167
The Color Violet, 0.645 0.534 0.463 -10.8
